,model,task,split,commit,dataset_sample_dataset_id,dataset_sample_sample_id,score,error
0,gpt-4.1-mini,tau_bench,validation,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,0,1.0,
1,gpt-4.1-mini,tau_bench,validation,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,1,0.0,
2,gpt-4.1-mini,tau_bench,validation,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,2,1.0,
3,gpt-4.1-mini,tau_bench,validation,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,3,0.0,
4,gpt-4.1-mini,tau_bench,validation,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,4,1.0,
5,gpt-4.1-mini,tau_bench,validation,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,5,1.0,
6,gpt-4.1-mini,tau_bench,validation,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,6,0.0,
7,gpt-4.1-mini,tau_bench,validation,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,7,1.0,
8,gpt-4.1-mini,tau_bench,validation,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,8,1.0,
9,gpt-4.1-mini,tau_bench,validation,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,9,1.0,
10,gpt-4.1-mini,tau_bench,validation,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,10,1.0,
11,gpt-4.1-mini,tau_bench,validation,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,11,0.0,
12,gpt-4.1-mini,tau_bench,validation,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,12,1.0,
13,gpt-4.1-mini,tau_bench,validation,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,13,0.0,
14,gpt-4.1-mini,tau_bench,validation,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,14,1.0,
15,gpt-4.1-mini,tau_bench,validation,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,15,1.0,
16,gpt-4.1-mini,tau_bench,validation,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,16,1.0,
17,gpt-4.1-mini,tau_bench,validation,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,17,1.0,
18,gpt-4.1-mini,tau_bench,validation,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,18,0.0,
19,gpt-4.1-mini,tau_bench,validation,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,19,0.0,
0,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,0,0.0,
1,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,1,0.0,
2,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,2,1.0,
3,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,3,0.0,
4,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,4,1.0,
5,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,5,0.0,
6,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,6,1.0,
7,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,7,1.0,
8,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,8,1.0,
9,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,9,0.0,
10,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,10,1.0,
11,gpt-4.1-mini,tau_bench,train,8bdab376fcf028cb9afa7a8a5cae923e871b1906,retail,11,1.0,
